,gender,age,age_o,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,interests_correlate,like,match,race_Black/African American,race_European/Caucasian-American,race_Latino/Hispanic American,race_Other,race_o_Black/African American,race_o_European/Caucasian-American,race_o_Latino/Hispanic American,race_o_Other,field_Biology,field_Business,field_Chemistry,field_Clinical Psychology,field_Education,field_Electrical Engineering,field_Engineering,field_Film,field_Finance,field_International Affairs,field_Law,field_MBA,field_Mathematics,field_Operations Research,field_Physics,field_Political Science,field_Psychology,field_School Psychology,field_Social Work,field_Sociology,field_medicine,field_sociology
0,1,21.0,27.0,0,2.0,4.0,3.5,3.333333333333333,4.0,4.0,0.0,6.0,8.0,8.0,8.0,8.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,9.0,7.0,7.0,6.0,0.14,7.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,21.0,22.0,0,2.0,4.0,6.0,0.0,0.0,8.0,0.0,7.0,8.0,10.0,7.0,7.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,5.0,0.54,7.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,21.0,22.0,1,2.0,4.0,1.9000000000000001,3.0,3.8000000000000003,3.6,2.6415094339622645,10.0,10.0,10.0,10.0,10.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,5.0,8.0,9.0,8.0,5.0,0.16,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,21.0,23.0,0,2.0,4.0,3.0,0.8333333333333333,3.0,8.0,0.9433962264150944,7.0,8.0,9.0,8.0,9.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,0.61,7.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,21.0,24.0,0,2.0,4.0,3.0,1.6666666666666665,4.0,2.0,1.8867924528301887,8.0,7.0,9.0,6.0,9.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,5.0,6.0,7.0,7.0,6.0,0.21,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,21.0,25.0,0,2.0,4.0,5.0,0.0,6.0,2.0,0.0,7.0,7.0,8.0,8.0,7.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,4.0,9.0,7.0,4.0,6.0,0.25,6.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,21.0,30.0,0,2.0,4.0,3.5,2.5,5.0,2.0,0.9433962264150944,3.0,6.0,7.0,5.0,8.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,4.0,6.0,0.34,6.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,21.0,27.0,0,2.0,4.0,3.333,1.8516666666666666,2.222,2.222,2.0962264150943395,6.0,7.0,5.0,6.0,8.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,4.0,9.0,7.0,6.0,5.0,0.5,6.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,21.0,28.0,0,2.0,4.0,5.0,0.0,5.0,2.0,0.0,7.0,7.0,8.0,8.0,8.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,9.0,8.0,0.28,7.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,21.0,24.0,0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,1.5,5.0,4.0,3.0,5.0,6.0,8.0,8.0,8.0,7.0,5.0,6.0,6.0,8.0,10.0,-0.36,6.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
